ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10248151,HY435821,09/23/2015 10:24:00 PM,002XX S STATE ST,0460,BATTERY,SIMPLE,RESTAURANT,true,false,0113,001,42,32,08B,1176418,1899146,2015,09/30/2015 03:35:37 PM,41.878611533,-87.627688116,"(41.878611533, -87.627688116)"
10248114,HY435804,09/23/2015 10:21:00 PM,069XX S WOODLAWN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,true,true,0321,003,5,69,08B,1185601,1859248,2015,09/30/2015 03:35:37 PM,41.768916724,-87.595229104,"(41.768916724, -87.595229104)"
10248218,HY435845,09/23/2015 10:20:00 PM,059XX W WALTON ST,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,RESIDENCE,false,true,1511,015,29,25,04B,1136554,1905722,2015,09/30/2015 03:35:37 PM,41.897463054,-87.77390459,"(41.897463054, -87.77390459)"
10248189,HY435844,09/23/2015 10:15:00 PM,036XX S LAKE PARK AVE,0560,ASSAULT,SIMPLE,APARTMENT,true,false,0212,002,4,36,08A,1182202,1881311,2015,09/30/2015 03:35:37 PM,41.829538814,-87.607004696,"(41.829538814, -87.607004696)"
10248096,HY435819,09/23/2015 10:15:00 PM,013XX N CICERO AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,2533,025,37,25,18,1144123,1908689,2015,09/30/2015 03:35:37 PM,41.905466034,-87.746029622,"(41.905466034, -87.746029622)"
10248117,HY435807,09/23/2015 10:11:00 PM,040XX N KEDZIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1724,017,33,16,18,1154335,1926672,2015,09/30/2015 03:35:37 PM,41.954614809,-87.708035521,"(41.954614809, -87.708035521)"
10248185,HY435798,09/23/2015 10:10:00 PM,044XX W THOMAS ST,0820,THEFT,$500 AND UNDER,RESIDENCE,true,true,1111,011,37,23,06,1146672,1906961,2015,09/30/2015 03:35:37 PM,41.900675948,-87.73671034,"(41.900675948, -87.73671034)"
10248150,HY435868,09/23/2015 10:02:00 PM,077XX N MARSHFIELD AVE,1330,CRIMINAL TRESPASS,TO LAND,ALLEY,true,false,2422,024,49,1,26,1163977,1951123,2015,09/30/2015 03:35:37 PM,42.02151059,-87.671895842,"(42.02151059, -87.671895842)"
10248092,HY435796,09/23/2015 10:00:00 PM,008XX N KOLIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,false,1111,011,37,23,08B,1147222,1905262,2015,09/30/2015 03:35:37 PM,41.896003196,-87.734733679,"(41.896003196, -87.734733679)"
10248524,HY436092,09/23/2015 10:00:00 PM,064XX S NORMAL BLVD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0722,007,20,68,05,1174054,1862259,2015,09/30/2015 03:35:37 PM,41.777443379,-87.63746522,"(41.777443379, -87.63746522)"
10248443,HY436090,09/23/2015 10:00:00 PM,047XX N HERMITAGE AVE,0810,THEFT,OVER $500,STREET,false,false,1912,019,47,3,06,1163946,1931450,2015,09/30/2015 03:35:37 PM,41.967527986,-87.672568555,"(41.967527986, -87.672568555)"
10248403,HY436087,09/23/2015 10:00:00 PM,028XX W 83RD ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,false,false,0835,008,18,70,14,1158583,1849450,2015,09/30/2015 03:35:37 PM,41.742623072,-87.694530861,"(41.742623072, -87.694530861)"
10249368,HY436724,09/23/2015 10:00:00 PM,052XX N NASHVILLE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,true,1613,016,41,10,11,1131583,1934469,2015,09/30/2015 03:35:37 PM,41.976435645,-87.79149546,"(41.976435645, -87.79149546)"
10249217,HY436428,09/23/2015 10:00:00 PM,003XX W VAN BUREN ST,0870,THEFT,POCKET-PICKING,OTHER,false,false,0122,001,2,32,06,1174200,1898474,2015,09/30/2015 03:35:37 PM,41.876817275,-87.635852128,"(41.876817275, -87.635852128)"
10248447,HY436062,09/23/2015 10:00:00 PM,044XX N RAVENSWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1912,019,47,4,14,1163426,1929455,2015,09/30/2015 03:35:37 PM,41.962064608,-87.674536939,"(41.962064608, -87.674536939)"
10249422,HY436903,09/23/2015 10:00:00 PM,022XX S SPRINGFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,1013,010,22,30,14,1150737,1888807,2015,09/30/2015 03:35:37 PM,41.850780802,-87.722253971,"(41.850780802, -87.722253971)"
